order_id,product_id,add_to_cart_order,reordered
2,33120,1,1
2,28985,2,1
2,9327,3,0
2,45918,4,1
2,30035,5,0
2,17794,6,1
2,40141,7,1
2,1819,8,1
2,43668,9,0
3,33754,1,1
3,24838,2,1
3,17704,3,1
3,21903,4,1
3,17668,5,1
3,46667,6,1
3,17461,7,1
3,32665,8,1
4,46842,1,0
4,26434,2,1
4,39758,3,1
4,27761,4,1
4,10054,5,1
4,21351,6,1
4,22598,7,1
4,34862,8,1
4,40285,9,1
4,17616,10,1
4,25146,11,1
4,32645,12,1
4,41276,13,1
5,13176,1,1
5,15005,2,1
5,47329,3,1
5,27966,4,1
5,23909,5,1
5,48370,6,1
5,13245,7,1
5,9633,8,1
5,27360,9,1
5,6348,10,1
5,40878,11,1
5,6184,12,1
5,48002,13,1
5,20914,14,1
5,37011,15,1
5,12962,16,1
5,45698,17,1
5,24773,18,1
5,18569,19,1
5,41176,20,1
5,48366,21,1
5,47209,22,0
5,46522,23,0
5,38693,24,0
5,48825,25,0
5,8479,26,0
6,40462,1,0
6,15873,2,0
6,41897,3,0
7,34050,1,0
7,46802,2,0
8,23423,1,1
9,21405,1,0
9,47890,2,1
9,11182,3,0
9,2014,4,1
9,29193,5,1
9,34203,6,1
9,14992,7,1
9,31506,8,1
9,23288,9,0
9,44533,10,1
9,18362,11,0
9,27366,12,1
9,432,13,1
9,3990,14,1
9,14183,15,0
10,24852,1,1
10,4796,2,1
10,31717,3,0
10,47766,4,1
10,4605,5,1
10,1529,6,0
10,21137,7,1
10,22122,8,1
10,34134,9,1
10,27156,10,0
10,14992,11,0
10,49235,12,1
10,26842,13,0
10,3464,14,0
10,25720,15,0
11,30162,1,1
11,27085,2,1
11,5994,3,1
11,1313,4,1
11,31506,5,1
12,30597,1,1
12,15221,2,1
12,43772,3,1
12,37886,4,1
12,37215,5,0
12,34335,6,1
12,3164,7,0
12,26910,8,0
12,38888,9,0
12,38050,10,1
12,25213,11,0
12,11175,12,0
12,23390,13,0
12,29471,14,0
12,43511,15,0
13,17330,1,0
13,27407,2,0
13,35419,3,0
13,196,4,0
13,44635,5,0
13,26878,6,0
13,25783,7,0
13,41290,8,0
13,33198,9,0
13,23020,10,0
13,36086,11,0
13,3800,12,0
13,25952,13,0
14,20392,1,1
14,27845,2,1
14,162,3,1
14,2452,4,1
14,8575,5,1
14,41890,6,1
14,39475,7,1
14,10096,8,1
14,23032,9,0
14,20995,10,1
14,45066,11,0
15,19660,1,1
15,21195,2,1
15,7461,3,1
15,2996,4,1
15,32463,5,1
16,9755,1,1
16,25466,2,0
16,45437,3,0
18,8021,1,0
18,34969,2,1
18,1000,3,0
18,5212,4,0
18,36011,5,1
18,44632,6,1
18,46969,7,0
18,27966,8,0
18,38985,9,1
18,26648,10,1
18,48745,11,0
18,7948,12,0
18,4802,13,0
18,28934,14,0
18,2116,15,0
18,45495,16,1
18,32018,17,1
18,27644,18,0
18,4656,19,0
18,9848,20,0
18,17568,21,0
18,23339,22,0
18,7308,23,0
18,35547,24,1
18,33279,25,0
18,46979,26,1
18,47766,27,1
18,1057,28,0
19,42265,1,1
19,24838,2,1
19,41540,3,1
20,35430,1,0
20,47485,2,0
20,7419,3,0
20,5112,4,0
20,33452,5,0
20,24852,6,0
20,42633,7,0
20,27605,8,0
21,5009,1,1
21,33106,2,1
21,4149,3,0
21,31478,4,0
21,25718,5,1
22,23909,1,1
22,22754,2,1
22,24852,3,1
22,28993,4,1
22,41273,5,1
22,23341,6,1
22,46941,7,1
22,39993,8,0
22,19068,9,1
22,21410,10,0
22,17341,11,0
22,40593,12,0
22,46979,13,1
22,31268,14,1
23,25931,1,1
23,35163,2,1
23,29662,3,1
23,26283,4,1
23,47766,5,1
23,12036,6,1
23,13497,7,0
23,44953,8,0
23,7969,9,1
23,8518,10,1
23,18689,11,0
23,44299,12,0
23,8381,13,1
23,32205,14,0
24,40078,1,0
24,9065,2,0
24,46175,3,0
25,9755,1,1
25,31487,2,0
25,37510,3,1
25,14576,4,1
25,22105,5,0
25,1934,6,1
25,6383,7,1
25,39046,8,0
25,48171,9,0
25,33506,10,1
25,30320,11,1
25,15925,12,0
25,37449,13,0
25,48299,14,1
26,35951,1,0
26,24852,2,1
26,46206,3,0
26,25890,4,0
26,33120,5,0
26,21903,6,0
26,40545,7,0
26,47766,8,1
27,13176,1,1
27,30442,2,1
27,13646,3,1
27,21019,4,0
27,38226,5,0
27,18479,6,1
27,47766,7,1
27,17794,8,1
27,42701,9,1
27,21938,10,0
27,5373,11,1
27,28849,12,1
27,41588,13,0
